"","V1","V2"
"1","Atlanta, Georgia","ATL"
"2","Chaoyang-Shunyi, Beijing","PEK"
"3","Hillingdon, London","LHR"
"4","Ōta, Tokyo","HND"
"5","Los Angeles, California","LAX"
"6","Garhoud, Dubai","DXB"
"7","Chicago, Illinois","ORD"
"8","Roissy-en-France, Île-de-France","CDG"
"9","Dallas-Fort Worth, Texas","DFW"
"10","Chek Lap Kok, Islands, Hong Kong","HKG"
"11","Frankfurt, Hesse","FRA"
"12","Cengkareng, Banten","CGK"
"13","Istanbul","IST"
"14","Haarlemmermeer, North Holland","AMS"
"15","Baiyun-Huadu, Guangzhou, Guangdong","CAN"
"16","Changi","SIN"
"17","Denver, Colorado","DEN"
"18","Queens, New York, New York","JFK"
"19","Pudong, Shanghai","PVG"
"20","Sepang, Selangor","KUL"
"21","San Mateo County, California","SFO"
"22","Bang Phli, Samut Prakan","BKK"
"23","Incheon","ICN"
"24","Charlotte, North Carolina","CLT"
"25","Las Vegas, Nevada","LAS"
"26","Phoenix, Arizona","PHX"
"27","Madrid","MAD"
"28","Houston, Texas","IAH"
"29","Miami-Dade County, Florida","MIA"
"30","Guarulhos, São Paulo","GRU"
"31","Delhi","DEL"
"32","Freising, Bavaria","MUC"
"33","Mascot, Sydney, New South Wales","SYD"
"34","Mississauga, Ontario","YYZ"
"35","Fiumicino, Lazio","FCO"
"36","Crawley, West Sussex","LGW"
"37","Changning-Minhang, Shanghai","SHA"
"38","Shuangliu-Wuhou, Chengdu, Sichuan","CTU"
"39","Barcelona","BCN"
"40","Seattle, Washington","SEA"
"41","Bao'an, Shenzhen, Guangdong","SZX"
"42","Dayuan, Taoyuan","TPE"
"43","Orlando, Florida","MCO"
"44","Newark, New Jersey","EWR"
"45","Narita, Chiba","NRT"
"46","St. Paul, Minnesota","MSP"
"47","Mumbai, Maharashtra","BOM"
"48","Venustiano Carranza, Mexico City","MEX"
"49","Pasay/Parañaque, Metro Manila","MNL"
"50","Domodedovo, Moscow Oblast","DME"
"51","Quito","UIO"
"52","Lima","LIM"
"53","Managua","MGA"
"54","Sucre","SRE"
"55","Port of Spain","POS"
"56","Ottawa","YOW"
"57","Kingstown","SVD"
"58","Montevideo","MVD"
"59","Bridgetown","BGI"
"60","Belmopan","BCV"
"61","Saint George's","GND"
"62","Georgetown","GEO"
"63","San José","SJO"
"64","Santiago","SCL"
"65","Nassau","NAS"
"66","Castries","SLU"
"67","Tegucigalpa","TGU"
"68","Kingston","KIN"
"69","Guatemala City","GUA"
"70","Port-au-Prince","PAP"
"71","Basseterre","BBR"
"72","San Salvador","SAL"
"73","Caracas","CCS"
"74","Brasília","BSB"
"75","Saint John's","ANU"
"76","Asunción","ASU"
"77","Bogotá","BOG"
"78","Washington D.C.","WAS"
"79","Buenos Aires","BUE"
"80","Paramaribo","PBM"
"81","Roseau","DCF"
"82","Havana","HAV"
"83","Panama City","PAK"
"84","Santo Domingo","SDQ"
"85","Tirana","TIA"
"86","Yerevan","EVN"
"87","Baku","BAK"
"88","Sofia","SOF"
"89","Minsk","MSQ"
"90","Prague","PRG"
"91","Zagreb","ZAG"
"92","Tallinn","TLL"
"93","Tbilisi","TBS"
"94","Budapest","BUD"
"95","Astana","TSE"
"96","Vilnius","VNO"
"97","Brussels","BRU"
"98","Kiev","IEV"
"99","Bern","BRN"
"100","Paris","PAR"
"101","Skopje","SKP"
"102","Belgrade","BEG"
"103","Valletta","MLA"
"104","Warsaw","WAW"
"105","Berlin","BER"
"106","Stockholm","STO"
"107","Bratislava","BTS"
"108","Podgorica","TGD"
"109","Athens","ATH"
"110","London","LON"
"111","Vienna","VIE"
"112","Sarajevo","SJJ"
"113","Monaco","MCM"
"114","Nicosia","ECN"
"115","Luxembourg","LUX"
"116","Oslo","OSL"
"117","Ankara","ANK"
"118","Dublin","DUB"
"119","Chisinau","KIV"
"120","Bucharest","BUH"
"121","Copenhagen","CPH"
"122","Helsinki","HEL"
"123","Moscow","MOW"
"124","Reykjavík","KEF"
"125","Ljubljana","LJU"
"126","Lisbon","LIS"
"127","Riga","RIX"
"128","Tashkent","TAS"
"129","Manama","WGF"
"130","Doha","DOH"
"131","Vientiane","VTE"
"132","Beirut","BEY"
"133","Abu Dhabi","AUH"
"134","Ashgabat","ASB"
"135","Riyadh","RUH"
"136","Tokyo","TYO"
"137","Kathmandu","KTM"
"138","Sri Jayawardenapura","DWO"
"139","Islamabad","ISB"
"140","Damascus","DAM"
"141","Beijing","BJS"
"142","Amman","AMM"
"143","Naypyidaw","NYT"
"144","Baghdad","BGW"
"145","Dhaka","DAC"
"146","Tehran","THR"
"147","Jerusalem","JRS"
"148","Kabul","KBL"
"149","Ulaanbaatar","ULN"
"150","Kuwait City","KWI"
"151","Sana'a","SAH"
"152","Pyongyang","FNJ"
"153","Bishkek","FRU"
"154","Dushanbe","DYU"
"155","Malé","MLE"
"156","Jakarta","JKT"
"157","Bandar Seri Begawan","BWN"
"158","Hanoi","HAN"
"159","Phnom Penh","PNH"
"160","Muscat","MCT"
"161","Dili","DIL"
"162","Ramallah and Gaza","ZDM"
"163","Addis Ababa","ADD"
"164","Port Louis","MRU"
"165","Antananarivo","TNR"
"166","Kampala","KLA"
"167","Cairo","CAI"
"168","Kinshasa","FIH"
"169","Asmara","ASM"
"170","Bangui","BGF"
"171","Maseru","MSU"
"172","Gaborone","GBE"
"173","Lusaka","LUN"
"174","Tunis","TUN"
"175","Dodoma","DOD"
"176","Lomé","LFW"
"177","São Tomé","TMS"
"178","Niamey","NIM"
"179","Bamako","BKO"
"180","Freetown","FNA"
"181","Bujumbura","BJM"
"182","Bissau","OXB"
"183","Conakry","CKY"
"184","Algiers","ALG"
"185","Nouakchott","NKC"
"186","Matsapha","MTS"
"187","Tripoli","TIP"
"188","Abuja","ABV"
"189","Djibouti","JYB"
"190","Moroni","HAH"
"191","Kigali","KGL"
"192","Yaoundé","YAO"
"193","Nairobi","NBO"
"194","N'Djamena","NDJ"
"195","Windhoek","WDH"
"196","Banjul","BJL"
"197","Dakar","DKR"
"198","Pretoria","PRY"
"199","Cape Town","CPT"
"200","Bloemfontein","BFN"
"201","Victoria","SEZ"
"202","Accra","ACC"
"203","Yamoussoukro","ASK"
"204","Maputo","MPM"
"205","Ouagadougou","OUA"
"206","Brazzaville","BZV"
"207","Monrovia","MLW"
"208","Malabo","SSG"
"209","Harare","HRE"
"210","Praia","RAI"
"211","Juba","JUB"
"212","Mogadishu","MGQ"
"213","Rabat","RBA"
"214","Khartoum","KRT"
"215","Libreville","LBV"
"216","Lilongwe","LLW"
"217","Luanda","LAD"
"218","Canberra","CBR"
"219","Majuro","MAJ"
"220","Wellington","WLG"
"221","Port Moresby","POM"
"222","Honiara","HIR"
"223","Port Vila","VLU"
"224","Suva","SUV"
"225","Nuku'alofa","TBU"
"226","Apia","APW"
"227","Funafuti","FUN"
"228","Tarawa","TRW"
